MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,,,,,,9A-570-320,9A-570-320 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Ltd,,,9A-570-320,,Tools & Equipment>Power Tools>Oscillating Tools>Oscillating Tool Sandpaper & Sanding Pads,"Mirka Ltd, Oscillating Tool Sandpaper & Sanding Pad, 9A-570-320",OSCILLATING TOOL SANDPAPER & SANDING PAD,Mirka Ltd 9A-570-320 Oscillating Tool Sandpaper & Sanding Pad,"The Mirka Ltd 9A-570-320 oscillating tool sandpaper and sanding pads, part of the Abranet Series, offer a length of 2.75 inches and a width of 30 inches, making them suitable for various sanding tasks. With a grit size of 120, these sanding pads provide a medium level of abrasiveness, ideal for smoothing out surfaces. The resin on resin bond type ensures a strong and durable bond between the abrasive grains and the backing material, allowing for efficient sanding performance.",Oscillating Tool Sandpaper & Sanding Pad,"Achieve efficient sanding results with the Mirka Ltd 9A-570-320 oscillating tool sandpaper and sanding pads, featuring a 120 grit size and resin on resin bond type for durable performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,Series,Abranet Series,,Length,2.75,mm,Width,30,mm,Grit Size,120,,Grit Grade,,,Abrasive Material,,,Backing Material,,,Backing Weight,,,Bond Type,Resin On Resin,,Cut Materials,,,Color,,,Number of Sheets,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DBD090094101F,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc",,,DBD090094101F,,Tools & Equipment>Power Tools>Power Saw Blades>Circular Saw Blades,"Freud America, Inc, Circular Saw Blade, DBD090094101F",CIRCULAR SAW BLADE WOOD DEMON™ SERIES 9,"Freud America, Inc DBD090094101F Circular Saw Blade",,Circular Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,Wood Demon™ Series,,Diameter,9,in,Cutting Edge Material,Carbide,,Blade Material,Metal,,Blade Thickness,,,Teeth Type,,,Number of Teeth,,,Teeth per Inch,,,Arbor Type,Diamond Knock Out,,Arbor Size,5/8,in,Cut Type,Cross,,Cut Width,,,Maximum Cutting Depth,,,Kerf,0.059,in,Grade,,,Hook Angle,,,Maximum Speed Rating,8000,rpm,Finish,Perma-Shield-Coated,,Color,,,Cut Materials,"Crosscut Wood, Hardwood, Laminate, Melamine, Plywood, Softwood, Veneered Plywood",,Suitable For Use With,"Cordless Circular Saws, Corded Circular Saws, Cordless Slide Miter Saws, Corded Slide Miter Saws",,Number of Pieces,1,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DBDS12125A01F,"DBDS12125A01F Diablo 12"" - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc",,,DBDS12125A01F,,Tools & Equipment>Power Tools>Power Saw Blades>Circular Saw Blades,"Freud America, Inc, Circular Saw Blade, DBDS12125A01F",CIRCULAR SAW BLADE,"Freud America, Inc DBDS12125A01F Circular Saw Blade",,Circular Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Cutting Edge Material,,,Blade Material,,,Blade Thickness,,,Teeth Type,,,Number of Teeth,,,Teeth per Inch,,,Arbor Type,,,Arbor Size,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Kerf,,,Grade,,,Hook Angle,,,Maximum Speed Rating,,,Finish,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DBDS12125G01F,"DBDS12125G01F Diablo 12""x20mm - Speed Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc",,,DBDS12125G01F,,Tools & Equipment>Power Tools>Power Saw Blades>Circular Saw Blades,"Freud America, Inc, Circular Saw Blade, DBDS12125G01F",CIRCULAR SAW BLADE,"Freud America, Inc DBDS12125G01F Circular Saw Blade",,Circular Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Cutting Edge Material,,,Blade Material,,,Blade Thickness,,,Teeth Type,,,Number of Teeth,,,Teeth per Inch,,,Arbor Type,,,Arbor Size,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Kerf,,,Grade,,,Hook Angle,,,Maximum Speed Rating,,,Finish,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DBDS14125A01F,"DBDS14125A01F Diablo 14""x1"" - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc",,,DBDS14125A01F,,Tools & Equipment>Power Tools>Power Saw Blades>Circular Saw Blades,"Freud America, Inc, Circular Saw Blade, DBDS14125A01F",CIRCULAR SAW BLADE WOOD DEMON™ SERIES 14,"Freud America, Inc DBDS14125A01F Circular Saw Blade",,Circular Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,Wood Demon™ Series,,Diameter,14,in,Cutting Edge Material,Carbide,,Blade Material,Steel,,Blade Thickness,0.04,in,Teeth Type,Hi-ATB,,Number of Teeth,60,,Teeth per Inch,,,Arbor Type,Diamond Knock Out,,Arbor Size,5/8,in,Cut Type,Crosscut Wood,,Cut Width,,,Maximum Cutting Depth,,,Kerf,,,Grade,,,Hook Angle,,,Maximum Speed Rating,8000,rpm,Finish,Perma-Shield-Coated,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,1,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DBDS14125G01F,"DBDS14125G01F Diablo 14""x20mm - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc",,,DBDS14125G01F,,Tools & Equipment>Power Tools>Power Saw Blades>Circular Saw Blades,"Freud America, Inc, Circular Saw Blade, DBDS14125G01F",CIRCULAR SAW BLADE,"Freud America, Inc DBDS14125G01F Circular Saw Blade",,Circular Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Cutting Edge Material,,,Blade Material,,,Blade Thickness,,,Teeth Type,,,Number of Teeth,,,Teeth per Inch,,,Arbor Type,,,Arbor Size,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Kerf,,,Grade,,,Hook Angle,,,Maximum Speed Rating,,,Finish,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,49-94-0013,"49-94-0013 Milw 5""x.045""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,,,49-94-0013,,Tools & Equipment>Power Tools>Power Saw Blades>Diamond Saw Blades,"Milwaukee Tool, Diamond Saw Blade, 49-94-0013",DIAMOND SAW BLADE,Milwaukee Tool 49-94-0013 Diamond Saw Blade,,Diamond Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Thickness,,,Rim Type,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Arbor Type,,,Arbor Size,,,Grade,,,Maximum Speed Rating,,,Cutting Edge Material,,,Blade Material,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,49-94-0029,"49-94-0029 Milw 6-1/2""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,,,49-94-0029,,Tools & Equipment>Power Tools>Power Saw Blades>Diamond Saw Blades,"Milwaukee Tool, Diamond Saw Blade, 49-94-0029",DIAMOND SAW BLADE,Milwaukee Tool 49-94-0029 Diamond Saw Blade,,Diamond Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Thickness,,,Rim Type,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Arbor Type,,,Arbor Size,,,Grade,,,Maximum Speed Rating,,,Cutting Edge Material,,,Blade Material,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,49-94-0033,"49-94-0033 Milw 7""x1/16""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,,,49-94-0033,,Tools & Equipment>Power Tools>Power Saw Blades>Diamond Saw Blades,"Milwaukee Tool, Diamond Saw Blade, 49-94-0033",DIAMOND SAW BLADE,Milwaukee Tool 49-94-0033 Diamond Saw Blade,,Diamond Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Thickness,,,Rim Type,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Arbor Type,,,Arbor Size,,,Grade,,,Maximum Speed Rating,,,Cutting Edge Material,,,Blade Material,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,49-94-0001,"49-94-0001 Milw 4""x.040""x5/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,,,49-94-0001,,Tools & Equipment>Power Tools>Power Saw Blades>Diamond Saw Blades,"Milwaukee Tool, Diamond Saw Blade, 49-94-0001",DIAMOND SAW BLADE,Milwaukee Tool 49-94-0001 Diamond Saw Blade,,Diamond Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Thickness,,,Rim Type,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Arbor Type,,,Arbor Size,,,Grade,,,Maximum Speed Rating,,,Cutting Edge Material,,,Blade Material,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,49-94-0039,"49-94-0039 Milw 7""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,,,49-94-0039,,Tools & Equipment>Power Tools>Power Saw Blades>Diamond Saw Blades,"Milwaukee Tool, Diamond Saw Blade, 49-94-0039",DIAMOND SAW BLADE,Milwaukee Tool 49-94-0039 Diamond Saw Blade,,Diamond Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Thickness,,,Rim Type,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Arbor Type,,,Arbor Size,,,Grade,,,Maximum Speed Rating,,,Cutting Edge Material,,,Blade Material,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,49-94-0043,"49-94-0043 Milw 9""x3/32""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,,,49-94-0043,,Tools & Equipment>Power Tools>Power Saw Blades>Diamond Saw Blades,"Milwaukee Tool, Diamond Saw Blade, 49-94-0043",DIAMOND SAW BLADE,Milwaukee Tool 49-94-0043 Diamond Saw Blade,,Diamond Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Thickness,,,Rim Type,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Arbor Type,,,Arbor Size,,,Grade,,,Maximum Speed Rating,,,Cutting Edge Material,,,Blade Material,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,49-94-0048,"49-94-0048 Milw 12""x7/64""x1"" Metal Cut Off Disc General Purpose",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,,,49-94-0048,,Tools & Equipment>Power Tools>Power Saw Blades>Diamond Saw Blades,"Milwaukee Tool, Diamond Saw Blade, 49-94-0048",DIAMOND SAW BLADE,Milwaukee Tool 49-94-0048 Diamond Saw Blade,,Diamond Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Thickness,,,Rim Type,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Arbor Type,,,Arbor Size,,,Grade,,,Maximum Speed Rating,,,Cutting Edge Material,,,Blade Material,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,49-94-0053,"49-94-0053 Milw 12""x1/8""x1"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,,,49-94-0053,,Tools & Equipment>Power Tools>Power Saw Blades>Diamond Saw Blades,"Milwaukee Tool, Diamond Saw Blade, 49-94-0053",DIAMOND SAW BLADE,Milwaukee Tool 49-94-0053 Diamond Saw Blade,,Diamond Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Thickness,,,Rim Type,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Arbor Type,,,Arbor Size,,,Grade,,,Maximum Speed Rating,,,Cutting Edge Material,,,Blade Material,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,49-94-0058,"49-94-0058 Milw 12""x1/8""x20mm Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,,,49-94-0058,,Tools & Equipment>Power Tools>Power Saw Blades>Diamond Saw Blades,"Milwaukee Tool, Diamond Saw Blade, 49-94-0058",DIAMOND SAW BLADE,Milwaukee Tool 49-94-0058 Diamond Saw Blade,,Diamond Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Thickness,,,Rim Type,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Arbor Type,,,Arbor Size,,,Grade,,,Maximum Speed Rating,,,Cutting Edge Material,,,Blade Material,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,49-94-0063,"49-94-0063 Milw 14""x7/64""x1"" Metal Cut Off Disc General Purpose",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,,,49-94-0063,,Tools & Equipment>Power Tools>Power Saw Blades>Diamond Saw Blades,"Milwaukee Tool, Diamond Saw Blade, 49-94-0063",DIAMOND SAW BLADE,Milwaukee Tool 49-94-0063 Diamond Saw Blade,,Diamond Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Thickness,,,Rim Type,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Arbor Type,,,Arbor Size,,,Grade,,,Maximum Speed Rating,,,Cutting Edge Material,,,Blade Material,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,49-94-0068,"49-94-0068 Milw 14""x1/8""x20mm Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,,,49-94-0068,,Tools & Equipment>Power Tools>Power Saw Blades>Diamond Saw Blades,"Milwaukee Tool, Diamond Saw Blade, 49-94-0068",DIAMOND SAW BLADE,Milwaukee Tool 49-94-0068 Diamond Saw Blade,,Diamond Saw Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Diameter,,,Thickness,,,Rim Type,,,Cut Type,,,Cut Width,,,Maximum Cutting Depth,,,Arbor Type,,,Arbor Size,,,Grade,,,Maximum Speed Rating,,,Cutting Edge Material,,,Blade Material,,,Color,,,Cut Materials,,,Suitable For Use With,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
